Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
4-April-2022,33.95,34.05,33.40,33.80,33.713383585261216470,399056,2043,13453528.00,92054,23.07,0.65,-0.15
1-April-2022,32.80,33.50,32.80,33.35,33.277672003030363444,401272,2037,13353398.00,247189,61.60,0.70,0.55
31-March-2022,32.65,33.60,32.60,32.70,33.120349292191073438,757761,4355,25097309.00,227639,30.04,1.00,0.05
30-March-2022,33.70,34.00,32.50,32.65,33.130896107728760706,586213,3921,19421762.00,261534,44.61,1.50,-1.05
29-March-2022,33.45,33.75,33.20,33.25,33.490117962819406456,546952,3157,18317487.00,205718,37.61,0.55,-0.20
28-March-2022,33.75,33.90,33.00,33.15,33.283902355236978922,628769,3550,20927886.00,280815,44.66,0.90,-0.60
25-March-2022,34.95,34.95,34.00,34.10,34.409663377436957796,813463,3949,27990988.00,416021,51.14,0.95,-0.85
24-March-2022,35.00,35.05,34.55,34.90,34.858215582550294840,494335,2729,17231636.00,215277,43.55,0.50,-0.10
23-March-2022,35.25,36.70,35.25,36.15,36.045729167736128650,1461015,4444,52663351.00,622328,42.60,1.45,0.90
22-March-2022,36.10,36.15,35.60,35.80,35.842611657727080532,1052435,4398,37722019.00,467574,44.43,0.55,-0.30
21-March-2022,35.50,36.00,35.05,35.80,35.592566508750868977,1211194,5499,43109503.00,648440,53.54,0.95,0.30
17-March-2022,33.65,35.20,33.65,34.55,34.343323898320943065,1314607,5691,45147974.00,575022,43.74,1.55,0.90
16-March-2022,33.20,33.55,32.90,33.15,33.179189731860688677,680318,3538,22572400.00,238811,35.10,0.65,-0.05
15-March-2022,33.00,33.00,32.40,32.80,32.719336889337929394,538432,2540,17617138.00,250579,46.54,0.60,-0.20
14-March-2022,33.15,33.15,32.45,32.65,32.867416904010270738,388677,2608,12774809.00,209106,53.80,0.70,-0.50
11-March-2022,32.60,33.00,32.50,32.75,32.694041237001713543,553823,2277,18106712.00,330184,59.62,0.50,0.15
10-March-2022,32.70,32.95,32.40,32.60,32.738490878703978844,636039,3210,20822957.00,202048,31.77,0.55,-0.10
9-March-2022,31.05,32.20,30.90,32.05,31.610558402214160152,641688,2450,20284116.00,93791,14.62,1.30,1.00
8-March-2022,30.10,30.85,30.10,30.65,30.558888421818016564,440095,2839,13448814.00,139363,31.67,0.75,0.55
7-March-2022,30.50,30.50,29.70,29.95,30.031233502133846911,339059,1896,10182360.00,103483,30.52,0.80,-0.55
4-March-2022,30.10,31.00,30.10,30.65,30.614452858662351475,549995,3747,16837796.00,177911,32.35,0.90,0.55
3-March-2022,31.60,31.65,31.00,31.10,31.327166417327762446,167777,975,5255978.00,54146,32.27,0.65,-0.50
2-March-2022,30.90,31.35,30.50,31.05,31.075901161478539136,420929,3030,13080748.00,209054,49.66,0.85,0.15
28-February-2022,31.20,31.20,30.05,30.95,30.794515917405179411,449665,3341,13847216.00,147994,32.91,1.15,-0.25
25-February-2022,29.05,31.20,29.05,31.00,30.844907328580317810,646046,3823,19927229.00,224432,34.74,2.15,1.95
24-February-2022,30.05,31.10,29.00,29.20,29.865577470494406325,1382365,10236,41285129.00,626145,45.30,2.10,-0.85
23-February-2022,31.60,32.15,31.55,31.70,31.848259264546919295,441279,3126,14053968.00,116945,26.50,0.60,0.10
22-February-2022,30.55,31.65,30.55,31.20,31.198580053444061976,701294,5370,21879377.00,283923,40.49,1.10,0.65
21-February-2022,32.85,33.10,32.15,32.35,32.479566062374701890,652444,4080,21191098.00,285504,43.76,0.95,-0.50
18-February-2022,32.65,33.35,32.65,33.15,33.127476485891534920,279832,2157,9270128.00,139358,49.80,0.70,0.50
17-February-2022,34.25,34.35,32.85,33.20,33.568780630347064266,554393,3307,18610297.00,230233,41.53,1.50,-1.05
16-February-2022,34.20,34.70,33.80,33.95,34.144748233478391903,520939,1403,17787331.00,77083,14.80,0.90,-0.25
15-February-2022,33.10,33.90,33.05,33.70,33.452511144688287867,692931,4187,23180282.00,247544,35.72,0.85,0.60
14-February-2022,33.60,34.05,33.10,33.50,33.504047825850204109,1120231,5910,37532273.00,488653,43.62,0.95,-0.10
11-February-2022,35.25,35.40,34.50,34.65,34.945323459712509609,378517,1661,13227399.00,119128,31.47,0.90,-0.60
10-February-2022,34.95,35.80,34.85,35.45,35.355132305689913672,1911558,4266,67583386.00,887433,46.42,0.95,0.50
9-February-2022,34.75,34.80,34.10,34.20,34.395650521064057733,318291,1354,10947826.00,117311,36.86,0.70,-0.55
8-February-2022,35.00,35.05,34.05,34.40,34.456503389739312905,594736,4094,20492523.00,236659,39.79,1.00,-0.60
7-February-2022,35.00,35.35,34.60,34.85,34.912771010253529544,696053,4177,24301139.00,292146,41.97,0.75,-0.15
4-February-2022,35.65,35.65,35.00,35.10,35.252898747920448201,356447,1482,12565790.00,132874,37.28,0.65,-0.55
3-February-2022,35.95,35.95,35.20,35.45,35.617954255140486558,589487,3174,20996321.00,326946,55.46,0.75,-0.50
2-February-2022,36.10,36.20,35.55,35.65,35.866663013644039512,802988,3756,28800500.00,369804,46.05,0.65,-0.45
1-February-2022,36.80,37.35,35.60,35.75,36.425467350101410246,1095057,3982,39887963.00,202083,18.45,1.75,-1.05
31-January-2022,36.70,36.85,35.70,35.95,36.201638564515461927,1450660,4330,52516269.00,797761,54.99,1.15,-0.75
28-January-2022,35.85,36.75,35.55,35.70,36.151384339155930358,1047070,5053,37853030.00,332151,31.72,1.20,-0.15
27-January-2022,35.45,36.25,35.15,35.65,35.717709108028629326,732815,4661,26174473.00,202629,27.65,1.10,0.20
25-January-2022,35.00,36.35,34.50,35.65,35.835053394889137301,1879487,7054,67351517.00,1237920,65.86,1.85,0.65
